Latitude,Longitude,Stop Name,Stop Status
40.735368,-73.992095,E 14 ST/UNION SQ W,at stop
40.713691,-73.980868,GRAND ST/ABRAHAM KAZAN ST,approaching
40.7124,-73.978004,CHERRY ST/JACKSON ST,< 1 stop away
40.732514,-73.985351,E 14 ST/3 AV,< 1 stop away
40.721661,-73.9866,ESSEX ST/RIVINGTON ST,< 1 stop away
